00000000,000014DF,
00000002,0000204D,
00000004,00002454,
00000006,000018B3,
00000008,0000059A,
0000000A,000018C3,
0000000C,00001570,
0000000E,00000892,
00000010,000025B9,
00000012,0000186D,
00000014,00000806,
00000016,00000858,
00000018,00001FCA,
0000001A,00000857,
0000001C,00001AD8,
0000001E,000025EF,
00000020,0000202E,
00000022,00000861,
00000024,00001336,
00000026,000004D7,
00000028,000019B2,
0000002A,0000144A,
0000002C,00001FB0,
0000002E,000018E7,
00000030,000024FF,
00000032,000013A3,
00000034,00001FBE,
00000036,0000262D,
00000038,000008AF,
0000003A,00001EA9,
0000003C,00000503,
0000003E,0000253C,
00000040,00001A68,
00000042,0000246A,
00000044,000004F1,
00000046,0000082F,
00000048,000014C3,
0000004A,000013DE,
0000004C,00001EAF,
0000004E,000017B1,
00000050,00002065,
00000052,000013A0,
00000054,000025DC,
00000056,000013DC,
00000058,00000883,
0000005A,00001954,
0000005C,00002652,
0000005E,00002616,
00000060,000014EF,
00000062,00000849,
00000064,00001A62,
00000066,0000195D,
00000068,00001369,
0000006A,00001860,
0000006C,000026D0,
0000006E,0000156A,
00000070,00001985,
00000072,00001FC3,
00000074,00001872,
00000076,000014BD,
00000078,000014FD,
0000007A,00001531,
0000007C,0000196D,
0000007E,00001AF6,
00000080,0000087E,
00000082,000018BF,
00000084,0000084A,
00000086,000004CD,
00000088,00002063,
0000008A,00002612,
0000008C,00001898,
0000008E,0000151D,
00000090,000005D5,
00000092,00001EE1,
00000094,000018D9,
00000096,000017BD,
00000098,00001FC9,
0000009A,00001A5E,
0000009C,00001F1D,
0000009E,000018BB,
000000A0,00001FDA,
000000A2,00002541,
000000A4,00001FA2,
000000A6,000026DE,
000000A8,00000561,
000000AA,00001343,
000000AC,0000262B,
000000AE,000004C5,
000000B0,0000241F,
000000B2,00001908,
000000B4,000024CF,
000000B6,000026EA,
000000B8,0000268A,
000000BA,000005CC,
000000BC,00001F1F,
000000BE,000026E8,
000000C0,0000267E,
000000C2,000025F1,
000000C4,00001EA4,
000000C6,00001466,
000000C8,000024F5,
000000CA,000025E7,
000000CC,00000819,
000000CE,0000139B,
000000D0,000024D2,
000000D2,00001506,
000000D4,00001972,
000000D6,000004C9,
000000D8,00000811,
000000DA,00000877,
000000DC,0000265F,
000000DE,00002476,
000000E0,00001943,
000000E2,000014A6,
000000E4,000018BB,
000000E6,000026C6,
000000E8,00001903,
000000EA,000024F5,
000000EC,000013A0,
000000EE,00002448,
000000F0,000025DB,
000000F2,000015A7,
000000F4,00002647,
000000F6,00001984,
000000F8,00001949,
000000FA,000025EA,
000000FC,00001539,
000000FE,0000088E,
00000100,00001593,
00000102,00000586,
00000104,00002458,
00000106,00000840,
00000108,00002626,
0000010A,00000817,
0000010C,000025A9,
0000010E,00000879,
00000110,00002674,
00000112,0000203C,
00000114,00001FAA,
00000116,0000157A,
00000118,00001560,
0000011A,000008C5,
0000011C,00000805,
0000011E,000012DE,
00000120,000026C5,
00000122,00000948,
00000124,000017AB,
00000126,00002674,
00000128,0000265F,
0000012A,0000052F,
0000012C,00001773,
0000012E,00001EA9,
00000130,0000263D,
00000132,0000263C,
