00001A48,00002AFA,4,27,0000076A,000014B4,1,3,0,
00001376,00002EC0,3,163,000010EC,000022BC,2,7,0,
0000003E,0000239E,1,8,00000086,0000125E,1,3,0,
00000328,00001998,1,4,000002F6,000021B8,1,6,0,
000005AE,00001392,1,3,000009AC,00002168,1,6,0,
0000027C,00001B92,1,4,00000624,00002680,1,12,0,
00000F12,000011B2,2,3,00001316,00001D10,3,4,0,
00000722,000011C6,1,3,00000D8A,00001252,2,3,0,
00001AA4,00002042,4,6,000014F4,00002754,3,13,0,
0000087A,00001FCC,1,5,0000090A,00000D6E,1,2,0,
000001F4,00001B68,1,4,00000DF6,00001B8C,2,4,0,
000010EC,000017CC,2,3,00000748,000016B4,1,3,0,
000010F4,00001DBA,2,4,000008E8,00001970,1,4,0,
000025C0,000028A2,10,16,0000059E,000018CE,1,3,0,
000011EE,00001CE4,3,4,0,
00000704,00002442,1,8,000021A8,000023A8,6,8,0,
000002A0,00000E88,1,2,000019C6,00002E54,4,108,0,
00000456,000022D0,1,7,0,
0000083E,000013BE,1,3,0,
00000C68,00002932,2,18,0,
000002E4,00002C88,1,43,00002312,000025D8,8,10,0,
000008AA,000024C0,1,9,000000AA,000021EA,1,7,0,
000004A4,00000F52,1,2,0,
00000476,00002220,1,7,0,
00000716,00001BC8,1,4,000004A6,00002900,1,17,0,
0000089E,00002802,1,14,0,
00000C8A,00001F3A,2,5,0,
00000B98,00001D56,1,4,0,
00001976,00001FF0,4,5,00000F00,00002536,2,9,0,
00001126,0000289A,2,16,0,
000001EE,00001848,1,3,0,
00001DAE,00002BD0,4,34,0,
000006DE,00001ED4,1,5,00000F7C,00002256,2,7,0,
000017A2,00002680,3,12,00001992,0000242C,4,8,0,
000006F0,00000FC0,1,2,000018A0,00001B58,3,4,0,
000012B8,00001D82,3,4,000000FC,00001D7C,1,4,0,
00000CB6,00002BE2,2,35,00000FFC,00002546,2,10,0,
0000121C,00001DDC,3,4,00002738,00002CE0,13,50,0,
00000986,00002B04,1,27,00001266,00002808,3,14,0,
000023D2,000024A2,8,9,000023EA,0000294E,8,18,0,
00002BE4,00002CA2,35,45,0,
0000062E,00001038,1,2,000015EE,00001A14,3,4,0,
0000172A,00002BF0,3,36,00002A80,00002DE6,24,79,0,
000008AC,000018C6,1,3,00000558,00002EE2,1,195,1,
000008E2,00001EB6,1,5,00000698,00002A9E,1,24,0,
00001006,00002CB2,2,46,0,
00001338,00001BA6,3,4,0,
000007EC,000021A8,1,6,0,
00000558,00002B68,1,30,00000260,00001790,1,3,0,
00000270,00000ECC,1,2,00001188,000025F6,2,11,0,
00000CD2,0000279A,2,13,00000110,00001DE0,1,4,0,
00001D8C,00001ED2,4,5,00000668,00000E54,1,2,0,
0000266E,00002A40,11,22,00000B72,00000E26,1,2,0,
000004DC,00001020,1,2,0000064C,000014B2,1,3,0,
00000124,00002A62,1,23,00000894,000012BE,1,3,0,
000016E4,00001AAC,3,4,00000C50,00002376,2,8,0,
00000BD2,0000193E,1,4,00000EB2,0000280A,2,14,0,
0000077C,0000203A,1,6,00001804,00002F16,3,316,0,
000006AE,00002D0E,1,54,000015E4,00002960,3,18,0,
00001D74,00002902,4,17,00000DE8,00002438,2,8,0,
00001D46,00002B98,4,32,00001294,00002D68,3,61,0,
00000140,00002746,1,13,0000047E,000024DC,1,9,0,
0000173E,0000286A,3,15,00000952,000026AA,1,12,0,
00001AEC,00002B24,4,28,00000E66,000015A4,2,3,0,
00001D90,000026BE,4,12,0000073C,00002E3A,1,99,0,
00000E94,0000187A,2,3,000005A6,00002754,1,13,0,
00001864,0000217E,3,6,000006A2,00001B8C,1,4,0,
000009C8,00001484,1,3,00000294,00000DC4,1,2,0,
00002058,00002E9C,6,138,0,
0000186A,00002DB6,3,70,00000AD8,00001EBC,1,5,0,
00000EF8,00001632,2,3,00000AE6,0000142C,1,3,0,
000001E8,000029D0,1,20,0000194C,000028A6,4,16,0,
0000182A,000019C2,3,4,0,
00000308,00001902,1,3,00001B6C,00001EDA,4,5,0,
0,
0000076C,0000290E,1,17,000006D2,00001B9C,1,4,0,
0000159E,00001A30,3,4,00000778,00002BD4,1,34,0,
0000141E,00002636,3,11,00000778,00002316,1,8,0,
0000066C,000014DE,1,3,00000854,00002736,1,13,0,
00001A16,00002A34,4,22,0,
00001BE2,0000244A,4,8,00000AD8,0000208C,1,6,0,
000005AE,000022EC,1,7,0,
00002144,00002756,6,13,00001C74,00002EC4,4,166,0,
00000214,00001456,1,3,00000660,000027C2,1,14,0,
00000714,000017B2,1,3,00001D9A,0000250A,4,9,0,
00001E4C,00002684,5,12,00001224,00002CF0,3,51,0,
